id,strategy,stations,total_ambulances,completion_time,outstanding_req,idle_ambulances
81,1,5,7,215.44260412361606,75.86963,3.760385714285714
82,1,5,8,218.81069925296578,78.41356142857144,4.765905714285714
83,1,5,9,218.7508630562336,75.48484142857141,5.770251428571428
84,1,5,10,9.407673738304407,0.3888657142857143,6.473651428571429
85,1,5,11,9.36500834409535,0.3957,7.479268571428571
86,1,5,12,9.399813713407937,0.4045671428571429,8.47199142857143
87,1,5,13,9.387425503899953,0.39596000000000003,9.473628571428572
88,1,5,14,9.369010368292207,0.3917628571428572,10.487928571428572
89,1,5,15,8.980539325051664,0.01935714285714286,11.486594285714286
90,1,5,16,9.000821119420488,0.019610000000000002,12.482061428571429
91,1,5,17,8.980085720727734,0.018947142857142857,13.484571428571433
92,1,5,18,8.98323127107961,0.018755714285714285,14.490274285714284
93,1,5,19,8.992080194982192,0.019591428571428572,15.484997142857141
94,1,5,20,8.973208884789372,0.00041285714285714287,16.48146857142857
95,1,5,21,8.971817057047062,0.0006514285714285715,17.47508714285714
96,1,5,22,8.981632695660867,0.0005557142857142857,18.49308
97,1,5,23,8.987268932118154,0.0006157142857142857,19.467765714285715
98,1,5,24,8.977219899756838,0.0005771428571428572,20.484097142857145
99,1,5,25,8.98643988935339,0.0,21.474414285714293
100,1,6,6,100.99048904641454,34.725455714285715,3.0245842857142855
101,1,6,7,100.56511374600012,35.99039857142857,4.025882857142857
102,1,6,8,99.1752180504285,34.637748571428574,5.024781428571428
103,1,6,9,96.23280234932756,38.09296285714286,6.025890000000001
104,1,6,10,102.26764705677118,34.959497142857145,7.025868571428571
105,1,6,11,99.33810353314381,36.40801714285714,8.026994285714286
106,1,6,12,8.658150340917183,0.24148285714285714,8.891677142857143
107,1,6,13,8.638706485057345,0.24144571428571424,9.876302857142857
108,1,6,14,8.635095592476855,0.22856714285714289,10.875601428571429
109,1,6,15,8.644860665257216,0.23839428571428567,11.892435714285714
110,1,6,16,8.613671165251159,0.24066714285714286,12.881465714285717
111,1,6,17,8.694299697139545,0.25223,13.869335714285716
112,1,6,18,8.397114153378732,0.014597142857142855,14.882035714285713
113,1,6,19,8.391447752524948,0.013257142857142856,15.873685714285713
114,1,6,20,8.389415170348142,0.015361428571428574,16.877447142857143
115,1,6,21,8.385061116673867,0.015218571428571429,17.86346
116,1,6,22,8.399335219238546,0.014371428571428573,18.884817142857145
117,1,6,23,8.393390444135742,0.014541428571428568,19.878731428571427
118,1,6,24,8.402087807910869,0.00048714285714285705,20.879889999999996
119,1,6,25,8.395059060423181,0.0004914285714285714,21.876211428571434
120,2,1,6,1632.1951981928414,551.0489914285714,0.0052557142857142854
121,2,1,7,1315.7706380362306,444.17441999999994,0.008495714285714284
122,2,1,8,1002.1053642110869,338.8347085714285,0.01236
123,2,1,9,705.1358019628298,238.64117285714283,0.015732857142857142
124,2,1,10,389.63312053548185,130.61861142857143,0.026758571428571423
125,2,1,11,119.08178859779214,38.54531142857143,0.07709857142857143
126,2,1,12,23.664782412836306,3.6046328571428576,0.7659528571428573
127,2,1,13,20.716213964876033,0.9131100000000001,1.764777142857143
128,2,1,14,20.530478467035973,0.32942714285714286,2.7462228571428566
129,2,1,15,20.462529789537516,0.12402999999999999,3.802422857142858
130,2,1,16,20.47900501137604,0.043315714285714284,4.7733357142857145
131,2,1,17,20.475679527398626,0.013152857142857141,5.788381428571429
132,2,1,18,20.444227799491134,0.0031328571428571434,6.782041428571427
133,2,1,19,20.475389863545,0.0010514285714285714,7.763372857142858
134,2,1,20,20.471572454083056,0.00020714285714285713,8.749960000000002
135,2,1,21,20.448428795276627,1.4285714285714287e-05,9.787268571428571
136,2,1,22,20.44444545912408,8.571428571428571e-06,10.754704285714283
137,2,1,23,20.473918747116787,4.2857142857142855e-06,11.756427142857143
138,2,1,24,20.490376358729378,0.0,12.752831428571431
139,2,1,25,20.47665542298553,0.0,13.761849999999999
140,2,2,6,1055.0326803387381,499.6060985714285,2.5801428571428575
141,2,2,7,978.6346315166147,452.80068,3.012912857142857
142,2,2,8,893.2095572997491,364.77028571428565,3.5205271428571425
143,2,2,9,729.4374386647854,331.2562457142857,3.9231842857142856
144,2,2,10,611.1539970068106,259.3662814285715,4.651662857142858
145,2,2,11,512.7052447707407,182.42517285714283,5.321694285714286
146,2,2,12,385.86519031180933,165.09082714285714,5.876824285714288
147,2,2,13,250.77225813177094,105.56621571428572,6.9003242857142855
148,2,2,14,256.1469537465409,83.54083999999999,7.525264285714285
149,2,2,15,187.44059153651258,90.52648571428571,8.410010000000002
150,2,2,16,140.4338176869648,64.60515714285714,9.16715
151,2,2,17,82.66069733402824,29.759020000000007,9.996550000000001
152,2,2,18,79.97355924331526,25.866775714285712,10.973101428571427
153,2,2,19,63.39665368335708,14.865335714285719,11.892575714285712
154,2,2,20,32.33350477311151,8.593570000000001,12.852041428571427
155,2,2,21,20.157875983850364,13.015495714285716,13.884372857142855
156,2,2,22,30.130248006247967,5.53477,14.891994285714288
157,2,2,23,14.681519183181187,3.055732857142857,15.87446142857143
158,2,2,24,16.002441913420974,0.2424042857142857,16.837194285714286
159,2,2,25,14.535811123524848,0.13823857142857146,17.843942857142856
160,2,3,6,402.1538016723368,225.4246471428571,1.9907371428571425
161,2,3,7,295.42299713716216,145.5297,2.8172514285714287
162,2,3,8,237.31296407302148,110.3247742857143,3.5833442857142854
163,2,3,9,192.49808746447832,88.87117857142857,4.447071428571428
164,2,3,10,112.08209061524559,53.56761857142857,5.248594285714286
165,2,3,11,87.68204740725483,39.413827142857144,6.2500157142857145
166,2,3,12,126.66429959385509,24.70571571428572,7.180921428571428
167,2,3,13,67.56518733660549,22.94742285714285,8.179038571428572
168,2,3,14,46.76889363463452,36.11852142857143,9.10006857142857
169,2,3,15,45.77214700807187,21.011812857142854,10.010270000000002
170,2,3,16,35.537015280522304,10.506884285714284,11.010144285714288
171,2,3,17,25.084072572150873,4.194642857142857,12.011202857142857
172,2,3,18,16.697271430662312,7.6845542857142854,12.976944285714282
173,2,3,19,24.198102690147326,2.2639314285714285,13.994684285714284
174,2,3,20,11.470460185591948,3.632885714285714,14.981332857142858
175,2,3,21,17.486766455162073,4.715487142857143,15.943961428571429
176,2,3,22,13.277679012738094,1.1148857142857145,16.956842857142856
177,2,3,23,11.273454089832518,1.1083257142857144,17.953291428571433
178,2,3,24,11.6177292465221,0.04338857142857143,18.97208857142857
179,2,3,25,11.26170561111293,0.019944285714285713,19.957774285714287
180,2,4,6,246.1265987263625,100.82668285714286,2.6793800000000005
181,2,4,7,186.99938632993545,90.03306714285715,3.5943428571428573
182,2,4,8,195.16641980575525,81.44286285714284,4.505634285714285
183,2,4,9,115.40098976744625,45.136702857142865,5.410972857142857
184,2,4,10,102.39477273903854,41.97988285714285,6.411810000000002
185,2,4,11,56.65956941496169,32.07676428571428,7.331031428571428
186,2,4,12,69.09020766230117,32.38703428571429,8.348784285714284
187,2,4,13,59.94845896604592,14.841968571428568,9.331128571428572
188,2,4,14,39.727119704101945,22.624564285714293,10.284558571428573
189,2,4,15,38.82210519649054,15.166388571428572,11.276841428571426
190,2,4,16,39.624489647077795,9.076077142857141,12.287928571428573
191,2,4,17,24.468983884461622,6.29995,13.280442857142857
192,2,4,18,22.800194741700743,8.760167142857144,14.262089999999999
193,2,4,19,24.177854614358708,9.367742857142858,15.252771428571428
194,2,4,20,23.468197457308598,3.934315714285715,16.227995714285715
195,2,4,21,12.553192517391128,5.0787885714285705,17.244078571428574
196,2,4,22,14.75771549816757,0.1771285714285714,18.230004285714287
197,2,4,23,14.852513388453637,0.12048285714285713,19.228892857142853
198,2,4,24,20.069985961498627,1.1749885714285713,20.21206857142857
199,2,4,25,17.229280846432957,1.5664371428571429,21.221531428571428
200,2,5,6,169.74034029566587,59.175617142857135,2.7195557142857143
201,2,5,7,132.66509062805957,44.90203428571429,3.6624999999999996
202,2,5,8,105.40990092279976,39.23815571428572,4.607635714285714
203,2,5,9,89.40923970788837,29.298791428571427,5.575695714285716
204,2,5,10,63.996572640955044,28.635004285714285,6.55825857142857
205,2,5,11,61.0947355824049,16.840395714285712,7.553084285714285
206,2,5,12,48.931334654374496,17.46550142857143,8.538881428571429
207,2,5,13,42.72878213424119,11.432384285714285,9.508587142857143
208,2,5,14,35.26909654426598,9.340494285714286,10.511308571428572
209,2,5,15,26.66816303756048,8.658664285714286,11.512849999999997
210,2,5,16,26.903564943618157,5.021155714285714,12.512145714285714
211,2,5,17,20.973758201922834,5.275038571428572,13.485652857142856
212,2,5,18,23.05705374113131,2.9543114285714283,14.497574285714286
213,2,5,19,17.71727377439618,1.893237142857143,15.494958571428569
214,2,5,20,19.067262226542585,2.9604371428571428,16.500288571428573
215,2,5,21,13.780984983102332,2.2485214285714283,17.48000142857143
216,2,5,22,11.898342807949655,0.5354771428571429,18.472501428571427
217,2,5,23,15.286949683630787,2.219947142857143,19.492552857142854
218,2,5,24,11.571518673187517,1.65485,20.499312857142854
219,2,5,25,13.504479557796138,1.4281371428571428,21.48458428571428
220,2,6,6,106.00619275526334,34.69832428571429,3.029012857142857
221,2,6,7,84.03657581837098,31.888267142857146,4.003024285714286
222,2,6,8,72.84851882399204,25.95363285714286,4.981495714285715
